,protocol_id,title,date,url,count_no_deps,no_dep,miss_dep,from_dep,to_dep
0,0,протокол № 68 от 11.06.2020 г.,11.06.2020,http://kenesh.kg/ru/article/show/6904/protokol-68-ot-11-06-2020-g,2,Алимбеков Н.К.,,Алимбеков Н.К.,Турсунбаев А.А.
1,0,протокол № 68 от 11.06.2020 г.,11.06.2020,http://kenesh.kg/ru/article/show/6904/protokol-68-ot-11-06-2020-g,2,Нурбаев А.М.,Нурбаев А.М.,,
2,1,протокол № 67 от 10.06.2020 г.,10.06.2020,http://kenesh.kg/ru/article/show/6903/protokol-67-ot-10-06-2020-g,2,Алимбеков Н.К.,,Алимбеков Н.К.,Турсунбаев А.А.
3,1,протокол № 67 от 10.06.2020 г.,10.06.2020,http://kenesh.kg/ru/article/show/6903/protokol-67-ot-10-06-2020-g,2,Нурбаев А.М.,Нурбаев А.М.,,
4,2,протокол № 66 от 04.06.2020 г.,04.06.2020,http://kenesh.kg/ru/article/show/6902/protokol-66-ot-04-06-2020-g,1,Все присутствовали,Все присутствовали,,
5,3,протокол № 65 от 03.06.2020 г.,03.06.2020,http://kenesh.kg/ru/article/show/6901/protokol-65-ot-03-06-2020-g,1,Все присутствовали,Все присутствовали,,
6,4,протокол № 64 от 28.05.2020 г.,28.05.2020,http://kenesh.kg/ru/article/show/6900/protokol-64-ot-28-05-2020-g,1,Касымалиева А.К.,Касымалиева А.К.,,
7,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Айнакулов М.А.,,Айнакулов М.А.,Артыков А.А.
8,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Асылбаева Г.К.,,Асылбаева Г.К.,Жунус уулу Алтынбек
9,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Баатырбеков А.Б.,,Баатырбеков А.Б.,Конушбаев Т.К.
10,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Жунус уулу Адыл,,Жунус уулу Адыл,Туманбаева Р.М.
11,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Икрамов Т.И.,,Икрамов Т.И.,Жунус уулу Алтынбек
12,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Касымалиева А.К.,Касымалиева А.К.,,
13,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Мавлянова М.Э.,,Мавлянова М.Э.,Туманбаева Р.М.
14,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Ормонов У.З.,,Ормонов У.З.,Тагаев Э.С.
15,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Рыспаев К.Дж.,,Рыспаев К.Дж.,Каримов Н.Т.
16,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Самаев У.О.,,Самаев У.О.,Нурматов К.С.
17,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Токторов А.С.,,Токторов А.С.,Конушбаев Т.К.
18,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Турсунбаев А.А.,,Турсунбаев А.А.,Нурматов К.С.
19,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Шайназаров Т.У.,,Шайназаров Т.У.,Жунус уулу Алтынбек
20,5,протокол № 63 от 27.05.2020 г.,27.05.2020,http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,14,Эгембердиев М.Б.,,Эгембердиев М.Б.,Джураев С.М.
21,6,протокол № 62 от 21.05.2020 г.,21.05.2020,http://kenesh.kg/ru/article/show/6898/protokol-62-ot-21-05-2020-g,1,Все присутствовали,Все присутствовали,,
22,7,протокол № 61 от 20.05.2020 г.,20.05.2020,http://kenesh.kg/ru/article/show/6897/protokol-61-ot-20-05-2020-g,1,Все присутствовали,Все присутствовали,,
23,8,протокол № 60 от 14.05.2020 г.,14.05.2020,http://kenesh.kg/ru/article/show/6896/protokol-60-ot-14-05-2020-g,1,Все присутствовали,Все присутствовали,,
