,title,count_no_deps,first_reg,last_reg,url
13,протокол № 55 от 01.04.2020 г.,3,116.0,109.0,http://kenesh.kg/ru/article/show/6793/protokol-55-ot-01-04-2020-g
239,протокол № 53 от 12.04.2017 г.,3,116.0,71.0,http://kenesh.kg/ru/article/show/1832/protokol-53-ot-12-04-2017-g
306,протокол № 50 от 12.05.2016 г.,21,115.0,78.0,http://kenesh.kg/ru/article/show/60/protokol-50-ot-12-05-2016-g
63,протокол № 5 от 12.09.2019 г.,1,114.0,115.0,http://kenesh.kg/ru/article/show/5912/protokol-5-ot-12-09-2019-g
104,протокол № 37 от 31.01.2019 г.,3,113.0,113.0,http://kenesh.kg/ru/article/show/5290/protokol-37-ot-31-01-2019-g
23,протокол № 45 от 20.02.2020 г.,11,113.0,109.0,http://kenesh.kg/ru/article/show/6707/protokol-45-ot-20-02-2020-g
159,протокол № 57 от 19.04.2018 г.,10,113.0,111.0,http://kenesh.kg/ru/article/show/3802/protokol-57-ot-19-04-2018-g
161,протокол № 55 от 12.04.2018 г.,13,113.0,100.0,http://kenesh.kg/ru/article/show/3799/protokol-55-ot-12-04-2018-g
163,протокол № 53 от 05.04.2018 г.,6,113.0,99.0,http://kenesh.kg/ru/article/show/3734/protokol-53-ot-05-04-2018-g
11,протокол № 57 от 30.04.2020 г.,1,113.0,112.0,http://kenesh.kg/ru/article/show/6796/protokol-57-ot-30-04-2020-g
