,title,count_no_deps,first_reg,last_reg,url
68,протокол № 1 (внеоч) от 08.08.2019 г.,2,61.0,63.0,http://kenesh.kg/ru/article/show/5905/protokol-1-vneoch-ot-08-08-2019-g
82,протокол № 59 от 02.05.2019 г.,2,66.0,97.0,http://kenesh.kg/ru/article/show/5710/protokol-59-ot-02-05-2019-g
64,протокол № 4 от 11.09.2019 г.,1,66.0,117.0,http://kenesh.kg/ru/article/show/5911/protokol-4-ot-11-09-2019-g
28,протокол № 40 от 05.02.2020 г.,3,67.0,106.0,http://kenesh.kg/ru/article/show/6702/protokol-40-ot-05-02-2020-g
54,протокол № 14 от 16.10.2019 г.,12,68.0,85.0,http://kenesh.kg/ru/article/show/6057/protokol-14-ot-16-10-2019-g
125,протокол № 16 от 31.10.2018 г.,13,69.0,98.0,http://kenesh.kg/ru/article/show/4526/protokol-16-ot-31-10-2018-g
53,протокол № 15 от 17.10.2019 г.,27,69.0,91.0,http://kenesh.kg/ru/article/show/6059/protokol-15-ot-17-10-2019-g
201,протокол № 16 от 08.11.2017 г.,6,70.0,75.0,http://kenesh.kg/ru/article/show/2901/protokol-16-ot-08-11-2017-g
212,протокол № 3 от 07.09.2017 г.,5,70.0,97.0,http://kenesh.kg/ru/article/show/2616/protokol-3-ot-07-09-2017-g
140,протокол № 1 от 04.09.2018 г.,1,70.0,70.0,http://kenesh.kg/ru/article/show/4372/protokol-1-ot-04-09-2018-g
