from_dep,to_dep,
Аманкулов М.А.,Омуркулову И.Ш.,40
Баймуратов К.Ш.,Турускулову Ж.К.,29
Сурабалдиева Э.Ж.,Омуркулову И.Ш.,28
Строкова Е.Г.,Карашеву А.А.,23
Акматов А.Ж.,Субанбекову Б.Ж.,22
Тулендыбаев П.Р.,Байбакпаеву Э.Ж.,18
Никитенко Н.В.,Шыкмаматову А.Н.,17
Алимбеков Н.К.,Эргешову А.М.,16
Мамашова А.Т.,Никитенко Н.В.,15
Бакиров М.И.,Торобаеву Б.Э.,15
Акаев Ж.К.,Примову У.Б.,15
Бекешев Д.Д.,Аманкулову М.А.,14
Тулендыбаев П.Р.,Зулушеву К.Т.,14
Исаков М.А.,Зулпукарову Т.З.,13
Жапаров А.У.,Сулайманову А.Т.,12
Токторов А.С.,Баатырбекову А.Б.,12
Орозова К.Б.,Артыкбаеву О.М.,11
Осмонова А.Ш.,Жээнбекову А.Ш.,11
Жеенбеков А.Ш.,Зулпукарову Т.З.,10
Мадеминов М.Г.,Джураеву С.М.,10
Карашев А.А.,Омуркулову И.Ш.,10
Орозова К.Б.,Карашеву А.А.,9
Иманалиев К.К.,Нышанову С.К.,9
Сурабалдиева Э.Ж.,Аманкулову М.А.,9
Пирматов И.А.,Сулайманову А.Т.,9
Шер-Нияз С.,Токтошеву Э.Т.,8
Орозова К.Б.,Касымалиевой А.К.,8
Жутанов А.Т.,Икрамову Т.И.,8
Сулейманов Б.И.,Иманалиеву К.К.,8
Торобаев Б.Э.,Бакирову М.И.,8
Жунус уулу Адыл,Мавляновой М.Э.,8
Калмаматов Ж.А.,Масабирову Т.А.,8
Токтошев Э.Т.,Нышанову С.К.,7
Мамашова А.Т.,Нышанову С.К.,7
Байбакпаев Э.Дж.,Тулендыбаеву П.Р.,7
Эгембердиев М.Б.,Зулпукарову Т.З.,7
Жунус уулу Алтынбек,Торобаеву Б.Э.,7
Матраимов И.И.,Зулпукарову Т.З.,7
Самигуллина А.Э.,Омуркулову И.Ш.,7
Аттокуров Д.Б.,Кодурановой А.С.,7
Никитенко Н.В.,Мамашовой А.Т.,7
Молдобекова Г.С.,Кодурановой А.С.,7
Шайназаров Т.У.,Бакирову М.И.,7
Молдобекова Г.С.,Самигуллиной А.Э.,7
Алтыбаева А.Т.,Омуркулову И.Ш.,7
Баатырбеков А.Б.,Токторову А.С.,7
Гайпкулов И.Т.,Токтошеву Э.Т.,7
Баатырбеков А.Б.,Турсунбаеву А.А.,6
Маннанов И.А.,Каримову Н.Т.,6
Иминов Ф.А.,Сыдыкову Б.У.,6
Алтынбеков А.,Тиллаеву Т.Г.,6
Сулайманов А.Т.,Абдылдаеву М.Ю.,6
Касымалиева А.К.,Орозовой К.Б.,6
Сурабалдиева Э.Ж.,Джураеву С.М.,6
Исаева Д.Ш.,Мавляновой М.Э.,6
Исаева Д.Ш.,Жеенчороеву М.К.,6
Жумалиев К.М.,Акматову А.Ж.,6
Эргешов А.М.,Алимбекову Н.К.,6
Маматов А.М.,Никитенко Н.В.,6
Арапбаев А.А.,Омуркулову И.Ш.,6
Зулпукаров Т.З.,Примову У.Б.,5
Дюшалиев А.К.,Баймуратову К.Ш.,5
Жутанов А.Т.,Жамалдинову З.И.,5
Иманалиев К.К.,Сулейманову Б.И.,5
Иманалиев К.К.,Токтошеву Э.Т.,5
Султанов А.М.,Асылбаевой Г.К.,5
Торобаев Б.Э.,Шайназарову Т.У.,5
Жапаров А.У.,Торокулову Д.Г.,5
Жунус уулу Адыл,Туманбаевой Р.М.,5
Касымалиева А.К.,Осмоновой А.Ш.,5
Жетигенов Б.Ж.,Молдобековой Г.С.,5
Маннанов И.А.,Зулпукарову Т.З.,5
Жамангулов А.Ж.,Бабанову О.Т.,5
Никитенко Н.В.,Саляновой А.Ж.,5
Юсуров А.Л.,Икрамову Т.И.,5
Нурматов К.С.,Масабирову Т.А.,5
Эгембердиев М.Б.,Джураеву С.М.,5
Эгембердиев М.Б.,Исакову М.А.,5
Аманкулов М.А.,Бекешеву Д.Д.,5
Шыкмаматов А.Н.,Токтошеву Э.Т.,5
Салянова А.Ж.,Никитенко Н.В.,5
Алтыбаева А.Т.,Жээнбекову А.Ш.,5
Нишанов Н.Н.,Райымкулову Б.К.,5
Шер-Нияз С.,Шыкмаматову А.Н.,5
Чудинов И.В.,Сулайманову А.Т.,4
Нишанов Н.Н.,Мамытову Т.Т.,4
Сабиров М.Э.,Жеенчороеву М.К.,4
Турсунбаев А.А.,Масабирову Т.А.,4
Артыкбаев О.М.,Орозовой К.Б.,4
Туманбаева Р.М.,Мавляновой М.Э.,4
Строкова Е.Г.,Акаеву Ж.К.,4
Омуркулов И.Ш.,Зулпукарову Т.З.,4
Турускулов Ж.К.,Жамангулову А.Ж.,4
Пирматов И.А.,Абдылдаеву М.Ю.,4
Масабиров Т.А.,Нурматову К.С.,4
Жамангулов А.Ж.,Турускулову Ж.К.,4
Масалиев И.А.,Асылбаевой Г.К.,4
Жамалдинов З.И.,Торобаеву Б.Э.,4
Самигуллина А.Э.,Строковой Е.Г.,4
Алтыбаева А.Т.,Керезбекову К.К.,4
Сулейманов Б.И.,Нышанову С.К.,4
Толонов Д.Э.,Султанбековой Ч.А.,4
Айнакулов М.А.,Омуркулову И.Ш.,4
Акаев Ж.К.,Нурбаеву А.М.,4
Бокоев К.С.,Бабанову О.Т.,4
Баатырбеков А.Б.,Исаеву К.К.,4
Молдобекова Г.С.,Омуркулову И.Ш.,4
Орозова К.Б.,Карамушкиной И.Ю.,4
Мусабекова Ж.А.,Кодурановой А.С.,4
Бокоев К.С.,Жеенчороеву М.К.,4
Торобаев Б.Э.,Жамалдинову З.И.,4
Исаева Д.Ш.,Абжалиеву А.Т.,4
Аманкулов М.А.,Зулпукарову Т.З.,3
Макеев Н.К.,Баатырбекову А.Б.,3
Туманбаева Р.М.,Жунус уулу Адылу,3
Иминов Ф.А.,Баймуратову К.Ш.,3
Субанбеков Б.Ж.,Акматову А.Ж.,3
Туманбаева Р.М.,Абжалиеву А.Т.,3
Омуркулов И.Ш.,Аманкулову М.А.,3
Арапбаев А.А.,Жылкыбаеву У.К.,3
Казакбаев Р.А.,Жеенчороеву М.К.,3
Акаев Ж.К.,Строковой Е.Г.,3
Айдаров С.А.,Толонову Д.Э.,3
Зулпукаров Т.З.,Матраимову И.И.,3
Зулпукаров Т.З.,Мадеминову М.Г.,3
Зулпукаров Т.З.,Омуркулову И.Ш.,3
Аманкулов М.А.,Аттокурову Д.Б.,3
Самаев У.О.,Исаеву К.К.,3
Эргешов А.М.,Чойбекову Р.Н.,3
Эргешов А.М.,Баатырбекову А.Б.,3
Сыдыков Б.У.,Зулушеву К.Т.,3
Икрамов Т.И.,Асылбаевой Г.К.,3
Кулбараков А.И.,Маннанову И.А.,3
Кыдыралиев У.Т.,Омурбековой А.С.,3
Икрамов Т.И.,Узакбаеву А.О.,3
Токторов А.С.,Конушбаеву Т.К.,3
Иманалиев К.К.,Никитенко Н.В.,3
Каримов Н.Т.,Джураеву С.М.,3
Эргешов А.М.,Назарову А.К.,3
Мамашова А.Т.,Шыкмаматову А.Н.,3
Казакбаев Р.А.,Сыдыкову Б.У.,3
Самигуллина А.Э.,Примову У.Б.,3
Нурбаев А.М.,Маннанову И.А.,3
Бекешев Д.Д.,Омуркулову И.Ш.,3
Мусабекова Ж.А.,Матраимову И.И.,3
Мусаев Н.И.,Исаеву К.К.,3
Масалиев И.А.,Торобаеву Б.Э.,3
Асылбек уулу Д.,Айдарову С.А.,3
Молдобекова Г.С.,Примову У.Б.,3
Бабанов О.Т.,Жеенчороеву М.К.,3
Нурбаев А.М.,Керезбекову К.К.,3
Асылбаева Г.К.,Жунус уулу Алтынбеку,3
Узакбаев А.О.,Асылбаевой Г.К.,3
Бакчиев Ж.А.,Ормонову У.З.,3
Маннанов И.А.,Нурбаеву А.М.,3
Самигуллина А.Э.,Молдобековой Г.С.,3
Сарсейитов И.З.,Эргешову А.М.,3
Турсунбеков Ч.А.,Омуркулову И.Ш.,3
Назаров А.К.,Баатырбекову А.Б.,3
Джураев С.М.,Каримову Н.Т.,3
Момбеков Р.Ч.,Джураеву С.М.,3
Турсунбаев А.А.,Нурматову К.С.,3
Жоробеков Т.У.,Келдибаеву С.А.,3
Турсунбаев А.А.,Баатырбекову А.Б.,3
Никитенко Н.В.,Маматову А.,3
Масалиев И.А.,Жамалдинову З.И.,3
Кодуранова А.С.,Молдобековой Г.С.,2
Самаев У.О.,Сарсейитову И.З.,2
Сурабалдиева Э.Ж.,Арапбаеву А.А.,2
Мусабекова Ж.А.,Аманкулову М.А.,2
Момбеков Р.Ч.,Омуркулову И.Ш.,2
Конушбаев Т.К.,Толонову Д.Э.,2
Осмонова А.Ш.,Бекешеву Д.Д.,2
Мамытов Т.Т.,Бокоеву К.С.,2
Сурабалдиева Э.Ж.,Строковой Е.Г.,2
Сыдыков Б.У.,Алтынбекову А.,2
Осмонова А.Ш.,Касымалиевой А.К.,2
Касымалиева А.К.,Примову У.Б.,2
Осмонова А.Ш.,Омуркулову И.Ш.,2
Сабиров М.Э.,Омурбековой А.С.,2
Касымалиева А.К.,Зулпукарову Т.З.,2
Касымалиева А.К.,Арапбаеву А.А.,2
Самигуллина А.Э.,Артыкову А.А.,2
Назаров А.К.,Айдарову С.А.,2
Самигуллина А.Э.,Аманкулову М.А.,2
Карашев А.А.,Керезбекову К.К.,2
Нишанов Н.Н.,Алтынбекову А.,2
Сыдыков Б.У.,Ибраимжанову Б.С.,2
Калмаматов Ж.А.,Турсунбаеву А.А.,2
Касымалиева А.К.,Карашеву А.А.,2
Нишанов Н.Н.,Туманбаевой Р.М.,2
Молдобекова Г.С.,Матраимову И.И.,2
Нурматов К.С.,Айдарову С.А.,2
Мадеминов М.Г.,Исаеву Т.К.,2
Масабиров Т.А.,Толонову Д.Э.,2
Нурбаев А.М.,Каримову Н.Т.,2
Масабиров Т.А.,Исаеву К.К.,2
Мадеминов М.Г.,Орозовой К.Б.,2
Нурбаев А.М.,Омуркулову И.Ш.,2
Мамытов Т.Т.,Омурбековой А.С.,2
Кыдыралиев У.Т.,Бабанову О.Т.,2
Строкова Е.Г.,Омуркулову И.Ш.,2
Мамытов Т.Т.,Нишанову Н.Н.,2
Никитенко Н.В.,Токтошеву Э.Т.,2
Нышанов С.К.,Сулейманову Б.И.,2
Мамашова А.Т.,Текебаеву О.Ч.,2
Мамытов Т.Т.,Абжалиеву А.Т.,2
Мадеминов М.Г.,Зулпукарову Т.З.,2
Масабиров Т.А.,Турсунбаеву А.А.,2
Самаев У.О.,Баатырбекову А.Б.,2
Сулейманов Б.И.,Маматову А.,2
Мавлянова М.Э.,Туманбаевой Р.М.,2
Казакбаев Р.А.,Тиллаеву Т.Г.,2
Мавлянова М.Э.,Жеенчороеву М.К.,2
Сулейманов Б.И.,Токтошеву Э.Т.,2
Масалиев И.А.,Икрамову Т.И.,2
Мавлянова М.Э.,Абжалиеву А.Т.,2
Кыдыралиев У.Т.,Маматалиеву М.А.,2
Мискенбаев М.Дж.,Строковой Е.Г.,2
Молдобекова Г.С.,Керезбекову К.К.,2
Мамытов Т.Т.,Жеенчороеву М.К.,2
Сулейманов Б.И.,Шыкмаматову А.Н.,2
Орозова К.Б.,Жылкыбаеву У.К.,2
Кыдыралиев У.Т.,Жамангулову А.Ж.,2
Омурбекова А.С.,Сабирову М.Э.,2
не указано,Шыкмаматову А.Н.,2
Жапаров А.У.,Абдылдаеву М.Ю.,2
Жамалдинов З.И.,Бакирову М.И.,2
Бекешев Д.Д.,Сурабалдиевой Э.Ж.,2
Чудинов И.В.,Бакчиеву Дж.А.,2
Чолпонбаев У.С.,Мамытову Т.Т.,2
Джакупова Ч.И.,Абдылдаеву М.Ю.,2
Джумабеков Д.А.,Баатырбекову А.Б.,2
Джумабеков Д.А.,Толонову Д.Э.,2
Джураев С.М.,Зулпукарову Т.З.,2
Джураев С.М.,Мадеминову М.Г.,2
Джураев С.М.,Маннанову И.А.,2
Чойбеков Р.Н.,Исаеву Ж.Б.,2
Узакбаев А.О.,Шайназарову Т.У.,2
Шайназаров Т.У.,Жунус уулу Алтынбеку,2
Жамангулов А.Ж.,Жеенчороеву М.К.,2
Жамангулов А.Ж.,Райымкулову Б.К.,2
Жапаров А.У.,Ормонову У.З.,2
Турускулов Ж.К.,Тулендыбаеву П.Р.,2
Турускулов Ж.К.,Тиллаеву Т.Г.,2
Турускулов Ж.К.,Алтынбекову А.,2
Жунус уулу Адыл,Турускулову Ж.К.,2
Жунус уулу Алтынбек,Жамалдинову З.И.,2
Жунус уулу Алтынбек,Икрамову Т.И.,2
Жутанов А.Т.,Торобаеву Б.Э.,2
Бекешев Д.Д.,Арапбаеву А.А.,2
Бакчиев Ж.А.,Абдылдаеву М.Ю.,2
Жылкыбаев У.К.,Молдобековой Г.С.,2
Арапбаев А.А.,Аманкулову М.А.,2
Юсуров А.Л.,Узакбаеву А.О.,2
Айнакулов М.А.,Артыкову А.А.,2
Акматов А.Ж.,Чудинову И.В.,2
Алимбеков Н.К.,Баатырбекову А.Б.,2
Алимбеков Н.К.,Джумабекову Д.А.,2
Эргешов А.М.,Конушбаеву Т.К.,2
Алимбеков Н.К.,Турсунбаеву А.А.,2
Алтыбаева А.Т.,Орозовой К.Б.,2
Алтынбеков А.,Турускулову Ж.К.,2
Эгембердиев М.Б.,Омуркулову И.Ш.,2
Арапбаев А.А.,Касымалиевой А.К.,2
Бакиров М.И.,Узакбаеву А.О.,2
Арапбаев А.А.,Матраимову И.И.,2
Артыков А.А.,Карамушкиной И.Ю.,2
Артыков А.А.,Омуркулову И.Ш.,2
Артыков А.А.,Орозовой К.Б.,2
Аттокуров Д.Б.,Омуркулову И.Ш.,2
Шер-Нияз С.,Сыдыгалиеву Н.О.,2
Шер-Нияз С.,Маматову А.,2
Шарапов З.Э.,Зулушеву К.Т.,2
Баймуратов К.Ш.,Казакбаеву Р.А.,2
Бакиров М.И.,Жамалдинову З.И.,2
Жылкыбаев У.К.,Арапбаеву А.А.,2
Примов У.Б.,Омуркулову И.Ш.,2
Иминов Ф.А.,Омурбековой А.С.,2
Иманалиев К.К.,Сыдыгалиеву Н.О.,2
Исмаилова А.Ж.,Тулендыбаеву П.Р.,2
Ибраимжанов Б.С.,Казакбаеву Р.А.,2
Тулендыбаев П.Р.,Бабанову О.Т.,2
Токтошев Э.Т.,Иманалиеву К.К.,2
Ибраимжанов Б.С.,Тулендыбаеву П.Р.,2
Исаков М.А.,Омуркулову И.Ш.,2
Икрамов Т.И.,Жутанову А.Т.,2
Торокулов Д.Г.,Сулайманову А.Т.,2
Иманалиев К.К.,Шыкмаматову А.Н.,2
Казакбаев Р.А.,Алтынбекову А.,2
Исаков М.А.,Матраимову И.И.,2
Торокулов Д.Г.,Жапарову А.У.,2
Иминов Ф.А.,Бабанову О.Т.,2
Исаков М.А.,Жээнбекову А.Ш.,2
Токтошев Э.Т.,Шыкмаматову А.Н.,2
Толонов Д.Э.,Айдарову С.А.,2
Торобаев Б.Э.,Масалиеву И.А.,2
Исаев К.К.,Баатырбекову А.Б.,2
Ибраимжанов Б.С.,Жеенчороеву М.К.,2
Исаев К.К.,Самаеву У.О.,2
Тулендыбаев П.Р.,Райымкулову Б.К.,2
Зулпукаров Т.З.,Карашеву А.А.,2
Тиллаев Т.Г.,Райымкулову Б.К.,2
Зулпукаров Т.З.,Эгембердиеву М.Б.,2
Казакбаев Р.А.,Бокоеву К.С.,2
Токторов А.С.,Алимбекову Н.К.,2
Самат Гульнара Клара,Маматову А.,1
Рыспаев К.Дж.,Осмоновой А.Ш.,1
