,title,count_no_deps,first_reg,last_reg,url
257,протокол № 35 от 19.01.2017 г.,20,111.0,120.0,http://kenesh.kg/ru/article/show/1385/protokol-35-ot-19-01-2017-g
249,протокол № 43 от 16.02.2017 г.,1,106.0,119.0,http://kenesh.kg/ru/article/show/1534/protokol-43-ot-16-02-2017-g
64,протокол № 4 от 11.09.2019 г.,1,66.0,117.0,http://kenesh.kg/ru/article/show/5911/protokol-4-ot-11-09-2019-g
105,протокол № 36 от 30.01.2019 г.,22,99.0,117.0,http://kenesh.kg/ru/article/show/5289/protokol-36-ot-30-01-2019-g
254,протокол № 38 от 01.02.2017 г.,5,112.0,117.0,http://kenesh.kg/ru/article/show/1431/protokol-38-ot-01-02-2017-g
253,протокол № 39 от 02.02.2017 г.,16,77.0,116.0,http://kenesh.kg/ru/article/show/1488/protokol-39-ot-02-02-2017-g
226,протокол № 66 от 31.05.2017 г.,3,76.0,116.0,http://kenesh.kg/ru/article/show/2148/protokol-66-ot-31-05-2017-g
27,протокол № 41 от 06.02.2020 г.,3,88.0,116.0,http://kenesh.kg/ru/article/show/6703/protokol-41-ot-06-02-2020-g
274,протокол № 18 от 09.11.2016 г.,15,112.0,116.0,http://kenesh.kg/ru/article/show/963/protokol-18-ot-09-11-2016-g
225,протокол № 67 от 01.06. 2017 г.,9,79.0,116.0,http://kenesh.kg/ru/article/show/2447/protokol-67-ot-01-06-2017-g
