,title,count_no_deps,first_reg,last_reg,url
230,протокол № 62 от 17.05.2017 г.,11,93.0,36.0,http://kenesh.kg/ru/article/show/2060/protokol-62-ot-17-05-2017-g
228,протокол № 64 от 24.05.2017 г.,13,96.0,54.0,http://kenesh.kg/ru/article/show/2143/protokol-64-ot-24-05-2017-g
220,протокол № 72 от 21.06. 2017 г.,13,96.0,56.0,http://kenesh.kg/ru/article/show/2452/protokol-72-ot-21-06-2017-g
207,протокол № 9 от 28.09.2017 г.,14,98.0,61.0,http://kenesh.kg/ru/article/show/2653/protokol-9-ot-28-09-2017-g
223,протокол № 69 от 08.06. 2017 г.,3,90.0,62.0,http://kenesh.kg/ru/article/show/2449/protokol-69-ot-08-06-2017-g
263,протокол № 29 от 22.12.2016 г.,12,96.0,63.0,http://kenesh.kg/ru/article/show/1203/protokol-29-ot-22-12-2016-g
68,протокол № 1 (внеоч) от 08.08.2019 г.,2,61.0,63.0,http://kenesh.kg/ru/article/show/5905/protokol-1-vneoch-ot-08-08-2019-g
152,протокол № 64 от 23.05.2018 г.,24,93.0,66.0,http://kenesh.kg/ru/article/show/4034/protokol-64-ot-23-05-2018-g
45,протокол № 23 от 21.11.2019 г.,6,96.0,66.0,http://kenesh.kg/ru/article/show/6184/protokol-23-ot-21-11-2019-g
238,протокол № 54 от 13.04.2017 г.,3,84.0,66.0,http://kenesh.kg/ru/article/show/1841/protokol-54-ot-13-04-2017-g
