from_dep,to_dep
Алимбеков Н.К.,Турсунбаев А.А.
Алимбеков Н.К.,Турсунбаев А.А.
Айнакулов М.А.,Артыков А.А.
Асылбаева Г.К.,Жунус уулу Алтынбек
Баатырбеков А.Б.,Конушбаев Т.К.
Жунус уулу Адыл,Туманбаева Р.М.
Икрамов Т.И.,Жунус уулу Алтынбек
Мавлянова М.Э.,Туманбаева Р.М.
Ормонов У.З.,Тагаев Э.С.
Рыспаев К.Дж.,Каримов Н.Т.
Самаев У.О.,Нурматов К.С.
Токторов А.С.,Конушбаев Т.К.
Турсунбаев А.А.,Нурматов К.С.
Шайназаров Т.У.,Жунус уулу Алтынбек
Эгембердиев М.Б.,Джураев С.М.
Эгембердиев М.Б.,Джураев С.М.
Эгембердиев М.Б.,Омуркулов И.Ш.
Алимбеков Н.К.,Эргешов А.М.
Джураев С.М.,Зулпукаров Т.З.
Маннанов И.А.,Бакиров О.М.
Сулейманов Б.И.,Нышанов С.К.
Эгембердиев М.Б.,Строкова Е.Г.
Арапбаев А.А.,Омуркулов И.Ш.
Сулейманов Б.И.,Нышанов С.К.
Арапбаев А.А.,Омуркулов И.Ш.
Жунус уулу Адыл,Турускулов Ж.К.
Жеенбеков А.Ш.,Зулпукаров Т.З.
Исаев К.К.,Алыбаев О.А.
Каримов Н.Т.,Джураев С.М.
Маннанов И.А.,Джураев С.М.
Матраимов И.И.,Зулпукаров Т.З.
Пирматов И.А.,Сулайманов А.Т.
Рыспаев К.Дж.,Примов У.Б.
Торокулов Д.Г.,Турусбеков Б.С.
Турсунбеков Ч.А.,Нурбаев А.М.
Турускулов Ж.К.,Тиллаев Т.Г.
Эгембердиев М.Б.,Омуркулов И.Ш.
Жунус уулу Адыл,Турускулов Ж.К.
Матраимов И.И.,Зулпукаров Т.З.
Аманкулов М.А.,Бекешев Д.Д.
Матраимов И.И.,Зулпукаров Т.З.
Аманкулов М.А.,Омуркулов И.Ш.
Жапаров А.У.,Сулайманов А.Т.
Жапаров А.У.,Сулайманов А.Т.
Жеенбеков А.Ш.,Зулпукаров Т.З.
Орозова К.Б.,Карашев А.А.
Жапаров А.У.,Сулайманов А.Т.
Аманкулов М.А.,Омуркулов И.Ш.
Жапаров А.У.,Сулайманов А.Т.
Иманалиев К.К.,Сыдыгалиев Н.О.
Шер-Нияз С.,Сыдыгалиев Н.О.
Иманалиев К.К.,Сыдыгалиев Н.О.
Шер-Нияз С.,Сыдыгалиев Н.О.
Орозова К.Б.,Карашев А.А.
Осмонова А.Ш.,Жээнбеков А.Ш.
Орозова К.Б.,Карашев А.А.
Аманкулов М.А.,Омуркулов И.Ш.
Жапаров А.У.,Сулайманов А.Т.
Орозова К.Б.,Карашев А.А.
Осмонова А.Ш.,Жээнбеков А.Ш.
Сурабалдиева Э.Ж.,Омуркулов И.Ш.
Тулендыбаев П.Р.,Байбакпаев Э.Ж.
Аманкулов М.А.,Омуркулов И.Ш.
Жапаров А.У.,Сулайманов А.Т.
