,title,date,count_no_deps,no_deps,url,0 Зарегистрировались,0 перерыв,1 Зарегистрировались,1 перерыв,2 Зарегистрировались,2 перерыв,3 Зарегистрировались,4 Зарегистрировались,5 Зарегистрировались,6 Зарегистрировались
0,протокол № 68 от 11.06.2020 г.,11.06.2020,2,"Алимбеков Н.К. (право голосования передано депутату Турсунбаеву А.А. в письменной форме), Нурбаев А.М.",http://kenesh.kg/ru/article/show/6904/protokol-68-ot-11-06-2020-g,111,15 минут,101,1 час,62,15 минут,101,109,,
1,протокол № 67 от 10.06.2020 г.,10.06.2020,2,"Алимбеков Н.К. (право голосования передано депутату Турсунбаеву А.А. в письменной форме), Нурбаев А.М.",http://kenesh.kg/ru/article/show/6903/protokol-67-ot-10-06-2020-g,76,15 минут,110,1 час,84,15 минут,107,81,,
2,протокол № 66 от 04.06.2020 г.,04.06.2020,0,Все присутствовали,http://kenesh.kg/ru/article/show/6902/protokol-66-ot-04-06-2020-g,105,15 минут,76,1 час,74,,100,,,
3,протокол № 65 от 03.06.2020 г.,03.06.2020,0,Все присутствовали,http://kenesh.kg/ru/article/show/6901/protokol-65-ot-03-06-2020-g,93,15 минут,119,1 час,95,15 минут,105,104,,
4,протокол № 64 от 28.05.2020 г.,28.05.2020,1,Касымалиева А.К.,http://kenesh.kg/ru/article/show/6900/protokol-64-ot-28-05-2020-g,71,15 минут,95,1 час,102,,98,,,
5,протокол № 63 от 27.05.2020 г.,27.05.2020,14,"Айнакулов М.А. (право голосования передано депутату Артыкову А.А. в письменной форме), Асылбаева Г.К. (право голосования передано депутату Жунус уулу Алтынбеку в письменной форме), Баатырбеков А.Б. (право голосования передано депутату Конушбаеву Т.К. в письменной форме), Жунус уулу Адыл (право голосования передано депутату Туманбаевой Р.М. в письменной форме), Икрамов Т.И. (право голосования передано депутату Жунус уулу Алтынбеку в письменной форме), Касымалиева А.К., Мавлянова М.Э. (право голосования «за» передано депутату Туманбаевой Р.М. в письменной форме по проекту Закона Кыргызской Республики «О внесении изменений в некоторые законодательные акты Кыргызской Республики (в законы Кыргызской Республики «Об охране и использовании историко-культурного наследия»; «О телевидении и радиовещании»)»), Ормонов У.З. (право голосования передано депутату Тагаеву Э.С. в письменной форме), Рыспаев К.Дж. (право голосования передано депутату Каримову Н.Т. в письменной форме), Самаев У.О. (право голосования передано депутату Нурматову К.С. в письменной форме), Токторов А.С. (право голосования передано депутату Конушбаеву Т.К. в письменной форме), Турсунбаев А.А. (право голосования передано депутату Нурматову К.С. в письменной форме), Шайназаров Т.У. (право голосования передано депутату Жунус уулу Алтынбеку в письменной форме), Эгембердиев М.Б. (право голосования передано депутату Джураеву С.М. в письменной форме).",http://kenesh.kg/ru/article/show/6899/protokol-63-ot-27-05-2020-g,100,15 минут,100,,109,,70,,,
6,протокол № 62 от 21.05.2020 г.,21.05.2020,0,Все присутствовали,http://kenesh.kg/ru/article/show/6898/protokol-62-ot-21-05-2020-g,99,1 час,114,,103,,,,,
7,протокол № 61 от 20.05.2020 г.,20.05.2020,0,Все присутствовали,http://kenesh.kg/ru/article/show/6897/protokol-61-ot-20-05-2020-g,112,15 минут,119,,109,,,,,
8,протокол № 60 от 14.05.2020 г.,14.05.2020,0,Все присутствовали,http://kenesh.kg/ru/article/show/6896/protokol-60-ot-14-05-2020-g,104,15 минут,105,1 час,97,,107,,,
9,протокол № 59 от  13.05.2020 г.,13.05.2020,0,Все присутствовали,http://kenesh.kg/ru/article/show/6895/protokol-59-ot-13-05-2020-g,112,15 минут,117,1 час,115,15 минут,104,,,
